event_id,customer_id,product_id,event_type,event_date,time_spent
1,603,93,remove_from_cart,1997-06-05 16:34:49.172107,214.67
2,440,23,remove_from_cart,1997-06-06 16:34:49.172107,280.93
3,985,70,remove_from_cart,1997-06-07 16:34:49.172107,283.0
4,349,55,remove_from_cart,1997-06-08 16:34:49.172107,167.74
5,895,43,add_to_cart,1997-06-09 16:34:49.172107,151.14
6,412,100,remove_from_cart,1997-06-10 16:34:49.172107,103.94
7,528,21,view,1997-06-11 16:34:49.172107,216.09
8,310,22,view,1997-06-12 16:34:49.172107,163.77
9,949,9,add_to_cart,1997-06-13 16:34:49.172107,280.2
10,396,34,view,1997-06-14 16:34:49.172107,75.39
11,788,59,remove_from_cart,1997-06-15 16:34:49.172107,96.52
12,338,26,view,1997-06-16 16:34:49.172107,98.25
13,674,1,remove_from_cart,1997-06-17 16:34:49.172107,242.77
14,437,100,add_to_cart,1997-06-18 16:34:49.172107,34.22
15,704,5,view,1997-06-19 16:34:49.172107,139.42
16,663,41,view,1997-06-20 16:34:49.172107,131.14
17,365,63,view,1997-06-21 16:34:49.172107,26.58
18,923,22,add_to_cart,1997-06-22 16:34:49.172107,126.19
19,113,68,add_to_cart,1997-06-23 16:34:49.172107,156.45
20,785,48,view,1997-06-24 16:34:49.172107,24.21
21,176,66,add_to_cart,1997-06-25 16:34:49.172107,155.41
22,149,16,remove_from_cart,1997-06-26 16:34:49.172107,287.98
23,178,80,add_to_cart,1997-06-27 16:34:49.172107,293.78
24,936,53,view,1997-06-28 16:34:49.172107,161.85
25,382,86,remove_from_cart,1997-06-29 16:34:49.172107,156.95
26,223,65,view,1997-06-30 16:34:49.172107,89.22
27,259,79,view,1997-07-01 16:34:49.172107,299.15
28,785,64,view,1997-07-02 16:34:49.172107,85.9
29,189,88,add_to_cart,1997-07-03 16:34:49.172107,138.61
30,306,68,view,1997-07-04 16:34:49.172107,5.87
31,378,63,remove_from_cart,1997-07-05 16:34:49.172107,108.02
32,602,62,remove_from_cart,1997-07-06 16:34:49.172107,26.07
33,343,82,remove_from_cart,1997-07-07 16:34:49.172107,224.43
34,774,81,view,1997-07-08 16:34:49.172107,170.5
35,156,71,remove_from_cart,1997-07-09 16:34:49.172107,173.79
36,712,45,remove_from_cart,1997-07-10 16:34:49.172107,89.52
37,55,52,remove_from_cart,1997-07-11 16:34:49.172107,245.39
38,766,74,remove_from_cart,1997-07-12 16:34:49.172107,5.96
39,442,65,add_to_cart,1997-07-13 16:34:49.172107,103.41
40,685,2,view,1997-07-14 16:34:49.172107,199.55
41,200,49,view,1997-07-15 16:34:49.172107,272.84
42,403,22,remove_from_cart,1997-07-16 16:34:49.172107,74.21
43,614,96,view,1997-07-17 16:34:49.172107,164.62
44,797,29,remove_from_cart,1997-07-18 16:34:49.172107,163.71
45,663,35,remove_from_cart,1997-07-19 16:34:49.172107,262.88
46,623,81,remove_from_cart,1997-07-20 16:34:49.172107,19.9
47,928,76,view,1997-07-21 16:34:49.172107,130.22
48,778,24,add_to_cart,1997-07-22 16:34:49.172107,58.83
49,603,94,view,1997-07-23 16:34:49.172107,11.35
50,177,30,view,1997-07-24 16:34:49.172107,48.37
51,449,84,add_to_cart,1997-07-25 16:34:49.172107,293.06
52,743,42,view,1997-07-26 16:34:49.172107,68.38
53,541,71,add_to_cart,1997-07-27 16:34:49.172107,280.83
54,955,50,remove_from_cart,1997-07-28 16:34:49.172107,65.55
55,301,71,add_to_cart,1997-07-29 16:34:49.172107,279.73
56,707,60,remove_from_cart,1997-07-30 16:34:49.172107,198.11
57,307,30,add_to_cart,1997-07-31 16:34:49.172107,38.4
58,751,12,remove_from_cart,1997-08-01 16:34:49.172107,176.66
59,869,49,view,1997-08-02 16:34:49.172107,98.96
60,991,95,add_to_cart,1997-08-03 16:34:49.172107,118.03
61,896,82,view,1997-08-04 16:34:49.172107,134.85
62,267,46,remove_from_cart,1997-08-05 16:34:49.172107,129.7
63,214,43,add_to_cart,1997-08-06 16:34:49.172107,200.91
64,594,2,add_to_cart,1997-08-07 16:34:49.172107,231.67
65,640,97,add_to_cart,1997-08-08 16:34:49.172107,102.11
66,483,75,view,1997-08-09 16:34:49.172107,277.69
67,262,98,remove_from_cart,1997-08-10 16:34:49.172107,281.85
68,67,80,view,1997-08-11 16:34:49.172107,17.0
69,574,54,add_to_cart,1997-08-12 16:34:49.172107,9.4
70,133,35,remove_from_cart,1997-08-13 16:34:49.172107,130.39
71,649,52,remove_from_cart,1997-08-14 16:34:49.172107,179.24
72,540,33,view,1997-08-15 16:34:49.172107,86.98
73,512,85,view,1997-08-16 16:34:49.172107,81.53
74,211,84,add_to_cart,1997-08-17 16:34:49.172107,205.11
75,988,72,add_to_cart,1997-08-18 16:34:49.172107,182.5
76,987,51,add_to_cart,1997-08-19 16:34:49.172107,54.31
77,717,26,add_to_cart,1997-08-20 16:34:49.172107,265.93
78,253,97,remove_from_cart,1997-08-21 16:34:49.172107,205.59
