purchase_id,customer_id,product_id,purchase_date,quantity
1,880,93,2011-02-12 16:34:49.162779,3
2,175,72,2011-02-13 16:34:49.162779,4
3,109,37,2011-02-14 16:34:49.162779,3
4,183,49,2011-02-15 16:34:49.162779,2
5,192,52,2011-02-16 16:34:49.162779,2
6,65,33,2011-02-17 16:34:49.162779,3
7,849,22,2011-02-18 16:34:49.162779,4
8,963,5,2011-02-19 16:34:49.162779,1
9,474,18,2011-02-20 16:34:49.162779,2
10,783,38,2011-02-21 16:34:49.162779,4
11,100,37,2011-02-22 16:34:49.162779,4
12,544,94,2011-02-23 16:34:49.162779,2
13,864,95,2011-02-24 16:34:49.162779,2
14,128,64,2011-02-25 16:34:49.162779,4
15,452,10,2011-02-26 16:34:49.162779,1
16,914,79,2011-02-27 16:34:49.162779,3
17,369,42,2011-02-28 16:34:49.162779,2
18,851,48,2011-03-01 16:34:49.162779,3
19,43,44,2011-03-02 16:34:49.162779,4
20,884,82,2011-03-03 16:34:49.162779,3
21,419,87,2011-03-04 16:34:49.162779,1
22,488,97,2011-03-05 16:34:49.162779,4
23,78,16,2011-03-06 16:34:49.162779,1
24,826,54,2011-03-07 16:34:49.162779,4
25,801,35,2011-03-08 16:34:49.162779,1
26,270,98,2011-03-09 16:34:49.162779,4
27,674,28,2011-03-10 16:34:49.162779,1
28,701,2,2011-03-11 16:34:49.162779,4
29,759,94,2011-03-12 16:34:49.162779,1
30,900,13,2011-03-13 16:34:49.162779,4
31,728,41,2011-03-14 16:34:49.162779,1
32,315,80,2011-03-15 16:34:49.162779,2
33,925,59,2011-03-16 16:34:49.162779,3
34,851,69,2011-03-17 16:34:49.162779,4
35,902,92,2011-03-18 16:34:49.162779,1
36,889,53,2011-03-19 16:34:49.162779,2
37,993,45,2011-03-20 16:34:49.162779,4
38,945,20,2011-03-21 16:34:49.162779,4
39,168,24,2011-03-22 16:34:49.162779,4
40,339,61,2011-03-23 16:34:49.162779,3
41,193,91,2011-03-24 16:34:49.162779,1
42,453,94,2011-03-25 16:34:49.162779,1
43,283,58,2011-03-26 16:34:49.162779,4
44,336,27,2011-03-27 16:34:49.162779,4
45,390,26,2011-03-28 16:34:49.162779,4
46,1000,7,2011-03-29 16:34:49.162779,2
47,525,42,2011-03-30 16:34:49.162779,4
